551181.87397040659562, 4120362.9719771803357
551182.64390720566735, 4120363.069835412316
551183.59417290089186, 4120363.283437452279
551184.14184335700702, 4120363.4631686564535
551184.72993008664344, 4120363.7117425245233
551185.36190138093662, 4120364.0328423776664
551185.980501153972, 4120364.4434331832454
551186.57857354020234, 4120364.9437846830115
551187.17163759074174, 4120365.4995056432672
551187.85280022374354, 4120366.0330841839314
551188.58621680224314, 4120366.5444325753488
551189.33955523290206, 4120367.093662682455
551190.11221246048808, 4120367.6539642405696
551190.90043401031289, 4120368.2294173194095
551191.69229023193475, 4120368.851543255616
551192.50595767283812, 4120369.484242560342
551193.32034767884761, 4120370.1149830035865
551194.14518534287345, 4120370.769788603764
551194.99622636544518, 4120371.4297522855923
551195.84470858646091, 4120372.0964818648063
551196.68931578414049, 4120372.7917903936468
551197.5310856619617, 4120373.4955795658752
551198.34636811888777, 4120374.2433908451349
551199.17203134670854, 4120374.9799374816939
551200.00657261558808, 4120375.7211524052545
551200.84610826103017, 4120376.4810843961313
551201.68799100304022, 4120377.2413670024835
551202.53681415424217, 4120377.9990424173884
551203.38303397432901, 4120378.7608726122417
551204.2294556829147, 4120379.5271374206059
551205.08496274566278, 4120380.2971273856238
551205.93863554880954, 4120381.0661340067163
551206.79756331886165, 4120381.8348514162935
551207.65138815855607, 4120382.6010096897371
551208.51072635536548, 4120383.372635981068
551209.401312557864, 4120384.1148031963967
551210.27786549506709, 4120384.8557011331432
551211.15228645608295, 4120385.6060767425224
551212.00031206966378, 4120386.3837361666374
551212.85967836587224, 4120387.1515427459963
551213.71554742765147, 4120387.9067851407453
551214.57898812182248, 4120388.6772847520187
551215.4622497507371, 4120389.4134661150165
551216.33617473999038, 4120390.1491371486336
551217.21159568417352, 4120390.9007568801753
551218.09803683147766, 4120391.6481493148021
551218.97280285111628, 4120392.4039120599627
551219.85053165827412, 4120393.1473505571485
551220.726674125297, 4120393.8902661851607
551221.60749106656294, 4120394.6378231169656
551222.49231828283519, 4120395.3865201561712
551223.40597156679723, 4120396.1022544843145
551224.41223051177803, 4120396.6161457067356
551225.47199435869697, 4120396.924036107026
551226.47372422809713, 4120396.8157985252328
551227.33534088591114, 4120396.3584147761576
551228.0637315469794, 4120395.7026714994572
551228.85080019081943, 4120395.0670072715729
551229.64557603560388, 4120394.424783967901
551230.43680725456215, 4120393.7518380936235
551231.13297341298312, 4120392.9916044697165
551231.84180670429487, 4120392.2336386251263
551232.56408592977095, 4120391.4595859004185
551233.29277531325351, 4120390.6840521991253
551234.02892882621381, 4120389.9000254804268
551234.79446364869364, 4120389.1279758089222
551235.57160396373365, 4120388.3545595025644
551236.34837499575224, 4120387.5697191930376
551237.13051095488481, 4120386.7869889754802
551237.90954147384036, 4120385.9786063255742
551238.69927677081432, 4120385.1653960151598
551239.49093686160631, 4120384.3642994100228
551240.28321581496857, 4120383.5622229478322
551241.07678059092723, 4120382.7505243844353
551241.87905771343503, 4120381.9410686390474
551242.68060922424775, 4120381.1265396191739
551243.48426406679209, 4120380.3222721051425
551244.33307152846828, 4120379.5431917761452
551245.16694819019176, 4120378.7444186280482
551245.95122307736892, 4120377.9177191089839
551246.75927612942178, 4120377.1047657239251
551247.60403248830698, 4120376.3186794952489
551248.43079753068741, 4120375.5294530084357
551249.26669632212725, 4120374.7412957274355
551250.09743213676848, 4120373.9490887331776
551250.94146384927444, 4120373.1609706748277
551251.77562353678513, 4120372.3623684076592
551252.60495361243375, 4120371.5636664968915
551253.44809297111351, 4120370.7602973533794
551254.28416782291606, 4120369.9585133441724
551255.12702602671925, 4120369.1520015480928
551255.9700360679999, 4120368.3499187878333
551256.80274675402325, 4120367.5407889811322
551257.64386640512384, 4120366.7328250212595
551258.48784617881756, 4120365.9314275695942
551259.10239236068446, 4120365.0222907382995
551259.31472270912491, 4120364.0614634072408
551259.30356650438625, 4120363.078259345144
551259.43092937988695, 4120362.0734776533209
551259.56709924992174, 4120361.0413647866808
551259.708815249498, 4120359.9976047407836
551259.87877498404123, 4120358.9400798860006
551260.0607789689675, 4120357.8719962467439
551260.29138119902927, 4120356.812932244502
551260.62804403866176, 4120355.7820344124921
551260.91831318696495, 4120354.7326719202101
551261.24805598054081, 4120353.6833822596818
551261.57161624997389, 4120352.6341668525711
551262.05230842414312, 4120351.6380164460279
551262.4931181241991, 4120350.6346630989574
551263.03416785830632, 4120349.6709617585875
551263.56589499255642, 4120348.6864572660998
551264.05350731266662, 4120347.7009222437628
551264.55917020328343, 4120346.6954104956239
551265.05950820038561, 4120345.7025718353689
551265.55851727374829, 4120344.6898522917181
551266.0649004438892, 4120343.6763537316583
551266.57417477515992, 4120342.6501486687921
551267.07561621372588, 4120341.6251567257568
551267.58702236239333, 4120340.5928371935152
551268.09444210387301, 4120339.5605151234195
551268.61141896119807, 4120338.5315410401672
551269.12213028641418, 4120337.4978032559156
551269.62376905430574, 4120336.4716914966702
551270.13201944727916, 4120335.4416328403167
551270.64336197369266, 4120334.4143722653389
551271.15957427804824, 4120333.3829713328741
551271.67030479630921, 4120332.3515877174214
551272.19733373983763, 4120331.3094684071839
551272.71334998309612, 4120330.2729970584624
551273.23745483416133, 4120329.2351373285055
551273.75268549076281, 4120328.1875833454542
551274.27268128516153, 4120327.1436472134665
551274.79017683886923, 4120326.1035601599142
551275.30276784219313, 4120325.0462741078809
551275.81704646884464, 4120324.0039749443531
551276.33635985036381, 4120322.9627424227074
551276.75344807794318, 4120321.8985475520603
551277.20538752269931, 4120320.8355455729179
551277.68299347953871, 4120319.7957127429545
